rec_idx,title,company,location,career,education,deadline,link,salary,crawled_at,score
52218098,위성 검보정/지상국시스템 설계·제작,(주)씨앤지마이크로웨이브,대전유성구,신입·경력,대졸↑,~ 12/03(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52218098&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52187744,개발이 좋은 백엔드 개발자(배워서 가능 하신 분 우대),엔플루언서,대구달성군,경력무관,학력무관,~ 12/04(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52187744&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52118070,[정규직] 서비스 개발자 채용 (로봇관제 파트)(신입·경력),(주)라인월드,대전유성구,경력무관,대졸↑,~ 11/22(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52118070&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52229076,"[대전] 홈페이지, 그룹웨어 유지보수 및 구축 사업 (신입/경력)",케이엘정보통신(주) 대전지점,대전서구,신입·경력,초대졸↑,~ 12/05(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52229076&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52186330,[통신비지원] 대전 LG U+ 고객 상담사 모집,(주)블루에이치알,대전중구,경력무관,고졸↑,23시마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52186330&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52071269,"CCTV, 무전기 설치 및 A/S 팀원 모집합니다",(주)유한정보통신,대구달서구,경력무관,학력무관,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52071269&location=ts&searchType=search&paid_fl=n&search_uuid=d60da091-ae94-4355-a7f8-1b138404c12b,,2025-11-12 01:05:33,30
51968611,로봇엔지니어 신입/경력 (산업용 로봇 경력 우대),(주)일렉트릭스,부산강서구,신입·경력,학력무관,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51968611&location=ts&searchType=search&paid_fl=n&search_uuid=9b195ef6-637e-48fb-88be-2afc7ba9768c,,2025-11-12 01:05:35,30
51953275,AI 기반 자동화 전문가 모집  (효율화 프로젝트 핵심포지션),옆커폰(주),대구달서구,경력무관,초대졸↑,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51953275&location=ts&searchType=search&paid_fl=n&search_uuid=9b195ef6-637e-48fb-88be-2afc7ba9768c,,2025-11-12 01:05:35,30
51939197,KT 인터넷 및 전화 통신 개통/AS 엔지니어 모집공고,(주)우주씨앤티,대구수성구,경력무관,학력무관,~ 11/28(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51939197&location=ts&searchType=search&paid_fl=n&search_uuid=9b195ef6-637e-48fb-88be-2afc7ba9768c,,2025-11-12 01:05:35,30
51935268,(주)다온더케어 풀스택 개발자 채용,(주)다온더케어,경남창원시 의창구,경력무관,학력무관,~ 11/26(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51935268&location=ts&searchType=search&paid_fl=n&search_uuid=9b195ef6-637e-48fb-88be-2afc7ba9768c,,2025-11-12 01:05:35,30
